date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
4/9/2000,Syria,Maldives,2.0,1.0,AFC Asian Cup qualification,Teheran,Iran,True
4/11/2000,Bahrain,Maldives,1.0,0.0,AFC Asian Cup qualification,Teheran,Iran,True
4/11/2000,Iran,Syria,1.0,1.0,AFC Asian Cup qualification,Teheran,Iran,False
4/13/2000,Bahrain,Syria,0.0,1.0,AFC Asian Cup qualification,Teheran,Iran,True
4/13/2000,Iran,Maldives,3.0,0.0,AFC Asian Cup qualification,Teheran,Iran,False
3/16/2003,Kyrgyzstan,Afghanistan,1.0,2.0,AFC Asian Cup qualification,Kathmandu,Nepal,True
3/18/2003,Nepal,Afghanistan,4.0,0.0,AFC Asian Cup qualification,Kathmandu,Nepal,False
3/20/2003,Nepal,Kyrgyzstan,0.0,2.0,AFC Asian Cup qualification,Kathmandu,Nepal,False
3/21/2003,Macau,Pakistan,0.0,3.0,AFC Asian Cup qualification,Singapore,Singapore,True
3/21/2003,Maldives,Brunei,1.0,1.0,AFC Asian Cup qualification,Malé,Maldives,False
3/21/2003,Sri Lanka,East Timor,3.0,2.0,AFC Asian Cup qualification,Colombo,Sri Lanka,False
3/23/2003,Burma,Brunei,5.0,0.0,AFC Asian Cup qualification,Malé,Maldives,True
3/23/2003,Singapore,Macau,2.0,0.0,AFC Asian Cup qualification,Singapore,Singapore,False
3/24/2003,North Korea,India,2.0,0.0,AFC Asian Cup qualification,P'yongyang,North Korea,False
3/25/2003,Hong Kong,Laos,5.0,1.0,AFC Asian Cup qualification,Kowloon,Hong Kong,False
3/25/2003,Maldives,Burma,0.0,2.0,AFC Asian Cup qualification,Malé,Maldives,False
3/25/2003,Singapore,Pakistan,3.0,0.0,AFC Asian Cup qualification,Singapore,Singapore,False
3/25/2003,Sri Lanka,Chinese Taipei,2.0,1.0,AFC Asian Cup qualification,Colombo,Sri Lanka,False
3/27/2003,Laos,Bangladesh,2.0,1.0,AFC Asian Cup qualification,Kowloon,Hong Kong,True
3/30/2003,Hong Kong,Bangladesh,2.0,2.0,AFC Asian Cup qualification,Kowloon,Hong Kong,False
3/30/2003,India,North Korea,1.0,1.0,AFC Asian Cup qualification,Margao,India,False
4/23/2003,Bhutan,Guam,6.0,0.0,AFC Asian Cup qualification,Thimphu,Bhutan,False
4/25/2003,Guam,Mongolia,0.0,5.0,AFC Asian Cup qualification,Thimphu,Bhutan,True
4/27/2003,Bhutan,Mongolia,0.0,0.0,AFC Asian Cup qualification,Thimphu,Bhutan,False
9/4/2003,North Korea,Lebanon,0.0,1.0,AFC Asian Cup qualification,P'yongyang,North Korea,False
9/4/2003,Singapore,Kuwait,1.0,3.0,AFC Asian Cup qualification,Singapore,Singapore,False
9/5/2003,Iran,Jordan,4.0,1.0,AFC Asian Cup qualification,Teheran,Iran,False
9/14/2003,Kuwait,Qatar,2.0,1.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
9/20/2003,Qatar,Kuwait,2.0,2.0,AFC Asian Cup qualification,Doha,Qatar,False
9/24/2003,Qatar,Palestine,1.0,1.0,AFC Asian Cup qualification,Doha,Qatar,False
9/25/2003,South Korea,Vietnam,5.0,0.0,AFC Asian Cup qualification,Incheon,South Korea,False
9/25/2003,Nepal,Oman,0.0,7.0,AFC Asian Cup qualification,Incheon,South Korea,True
9/26/2003,Jordan,Iran,3.0,2.0,AFC Asian Cup qualification,Amman,Jordan,False
9/27/2003,South Korea,Oman,1.0,0.0,AFC Asian Cup qualification,Incheon,South Korea,False
9/27/2003,Kuwait,Singapore,4.0,0.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
9/27/2003,Qatar,Palestine,2.0,1.0,AFC Asian Cup qualification,Doha,Qatar,False
9/27/2003,Vietnam,Nepal,5.0,0.0,AFC Asian Cup qualification,Incheon,South Korea,True
9/29/2003,South Korea,Nepal,16.0,0.0,AFC Asian Cup qualification,Incheon,South Korea,False
9/29/2003,Vietnam,Oman,0.0,6.0,AFC Asian Cup qualification,Incheon,South Korea,True
10/5/2003,Kuwait,Palestine,2.0,1.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
10/6/2003,Indonesia,Bhutan,2.0,0.0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
10/6/2003,Saudi Arabia,Yemen,7.0,0.0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False
10/8/2003,Iraq,Bahrain,5.0,1.0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True
10/8/2003,Kuwait,Palestine,4.0,0.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
10/8/2003,Malaysia,Burma,4.0,0.0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False
10/8/2003,Saudi Arabia,Bhutan,6.0,0.0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False
10/8/2003,Yemen,Indonesia,0.0,3.0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
10/10/2003,Bhutan,Yemen,0.0,8.0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
10/10/2003,Burma,Bahrain,1.0,3.0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True
10/10/2003,Malaysia,Iraq,0.0,0.0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False
10/10/2003,Saudi Arabia,Indonesia,5.0,0.0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False
