Key,Squad,Poss,Gls,Sh,SoT,SoT%,PKatt,CrdY,CrdR,Fld,Int,O. CrdY,Confederation_AFC,Confederation_CAF,Confederation_CONCACAF,Confederation_CONMEBOL,Confederation_UEFA
2022-UEFA WCQ-Bulgaria,Bulgaria,38.8,0.75,6.75,2.25,33.3,0.13,2,0.13,14.8,8.75,2.38,0,0,0,0,1
2021-UEFA Euro Qualifiers-Bulgaria,Bulgaria,42.6,0.56,5.89,2.11,35.8,0,1.11,0,9.89,9.89,2.11,0,0,0,0,1
2022-UEFA WCQ-Cyprus,Cyprus,35.7,0.4,8.2,2.4,29.3,0,1.7,0.1,12.1,13.3,1.8,0,0,0,0,1
2021-UEFA Euro Qualifiers-Cyprus,Cyprus,51.4,1,9.5,3.3,34.7,0,1.2,0.1,11,6.2,2,0,0,0,0,1
2022-UEFA WCQ-Estonia,Estonia,35,1.13,8.88,3.13,35.2,0,2.38,0.13,9.25,10.3,1.63,0,0,0,0,1
2021-UEFA Euro Qualifiers-Estonia,Estonia,38,0.25,6.38,1.5,23.5,0,1,0,7.88,11.8,0.63,0,0,0,0,1
2022-UEFA WCQ-Faroe Islands,Faroe Islands,37.6,0.7,7.7,2.9,37.7,0,1.6,0.1,8.8,13,1.5,0,0,0,0,1
2021-UEFA Euro Qualifiers-Faroe Islands,Faroe Islands,40.5,0.3,5.4,1.8,33.3,0.1,1.5,0,8.8,8.9,1.8,0,0,0,0,1
2022-UEFA WCQ-Georgia,Georgia,40.8,0.75,7.38,3,40.7,0,2.63,0.13,10.4,11.4,2.63,0,0,0,0,1
2021-UEFA Euro Qualifiers-Georgia,Georgia,49.2,0.8,11,3.5,31.8,0.2,2,0,8.9,10.3,1.3,0,0,0,0,1
2022-UEFA WCQ-Gibraltar,Gibraltar,26.6,0.4,2.5,1,40,0.2,2.2,0.1,8,7.9,1.3,0,0,0,0,1
2021-UEFA Euro Qualifiers-Gibraltar,Gibraltar,26.5,0.38,4.13,1.75,42.4,0,1.88,0,11.5,10.8,1,0,0,0,0,1
2022-UEFA WCQ-Greece,Greece,47,0.88,9.38,3.5,37.3,0.25,2.75,0.13,13.8,12.4,2.5,0,0,0,0,1
2021-UEFA Euro Qualifiers-Greece,Greece,57.6,1.1,18.1,5.8,32,0.1,2.5,0,11.8,10.7,1.5,0,0,0,0,1
2022-UEFA WCQ-Israel,Israel,51.8,2.3,10.8,4.6,42.6,0.1,1.7,0,12.1,13.2,2.2,0,0,0,0,1
2021-UEFA Euro Qualifiers-Israel,Israel,55.4,0.97,12.2,4.51,37,0,1.59,0,10.2,10.2,2.12,0,0,0,0,1
