Key,Year,Competition,Squad,Age,Poss
2019-fr Ligue 1-Dijon,2019,fr Ligue 1,Dijon,27.1,47.9
2019-de Bundesliga-Dortmund,2019,de Bundesliga,Dortmund,24.8,58
2019-de Bundesliga-Düsseldorf,2019,de Bundesliga,Düsseldorf,26.9,43.1
2019-es La Liga-Eibar,2019,es La Liga,Eibar,28.5,54.1
2019-de Bundesliga-Eint Frankfurt,2019,de Bundesliga,Eint Frankfurt,26.4,47.3
2019-it Serie A-Empoli,2019,it Serie A,Empoli,26.4,47.9
2019-es La Liga-Espanyol,2019,es La Liga,Espanyol,27.7,49.5
2019-eng Premier League-Everton,2019,eng Premier League,Everton,25.7,51.5
2019-it Serie A-Fiorentina,2019,it Serie A,Fiorentina,24.1,50.7
2019-de Bundesliga-Freiburg,2019,de Bundesliga,Freiburg,25.8,44.2
2019-it Serie A-Frosinone,2019,it Serie A,Frosinone,26.4,41.1
2019-eng Premier League-Fulham,2019,eng Premier League,Fulham,26,48.6
2019-it Serie A-Genoa,2019,it Serie A,Genoa,26,43.1
2019-es La Liga-Getafe,2019,es La Liga,Getafe,27.5,40.8
2019-es La Liga-Girona,2019,es La Liga,Girona,26.6,48
2019-fr Ligue 1-Guingamp,2019,fr Ligue 1,Guingamp,26,43.9
2019-de Bundesliga-Hannover 96,2019,de Bundesliga,Hannover 96,26.3,46.3
2019-de Bundesliga-Hertha BSC,2019,de Bundesliga,Hertha BSC,25.9,48.1
2019-de Bundesliga-Hoffenheim,2019,de Bundesliga,Hoffenheim,25.5,53.6
2019-eng Premier League-Huddersfield,2019,eng Premier League,Huddersfield,26.2,47
2019-es La Liga-Huesca,2019,es La Liga,Huesca,26.7,44.7
2019-it Serie A-Inter,2019,it Serie A,Inter,27.7,59.6
2019-it Serie A-Juventus,2019,it Serie A,Juventus,28,56.2
2019-it Serie A-Lazio,2019,it Serie A,Lazio,27.9,50.8
2019-es La Liga-Leganés,2019,es La Liga,Leganés,26.6,42.8
2019-eng Premier League-Leicester City,2019,eng Premier League,Leicester City,25.9,51.1
2019-es La Liga-Levante,2019,es La Liga,Levante,26.3,45.6
2019-de Bundesliga-Leverkusen,2019,de Bundesliga,Leverkusen,25.3,59.9
2019-fr Ligue 1-Lille,2019,fr Ligue 1,Lille,24.1,51.5
2019-eng Premier League-Liverpool,2019,eng Premier League,Liverpool,26.1,61.7
2019-fr Ligue 1-Lyon,2019,fr Ligue 1,Lyon,24.4,60.8
2019-de Bundesliga-M'Gladbach,2019,de Bundesliga,M'Gladbach,26.5,53.1
