Key,Year,Competition,Squad,CrdY,CrdR,Fld,Int,TklW
2021-eng Premier League-West Ham,2021,eng Premier League,West Ham,1.32,0.08,11.6,11.2,9.11
2021-de Bundesliga-Wolfsburg,2021,de Bundesliga,Wolfsburg,1.71,0.09,12.6,13.6,12.6
2021-eng Premier League-Wolves,2021,eng Premier League,Wolves,1.45,0.03,12.4,10.2,10.4
2020-es La Liga-Alavés,2020,es La Liga,Alavés,2.92,0.18,12.6,5.63,9.74
2020-fr Ligue 1-Amiens,2020,fr Ligue 1,Amiens,2.04,0.14,12.2,9.75,11.4
2020-fr Ligue 1-Angers,2020,fr Ligue 1,Angers,1.5,0.07,12.9,8.43,11.4
2020-eng Premier League-Arsenal,2020,eng Premier League,Arsenal,2.32,0.13,13.8,6.39,9.82
2020-eng Premier League-Aston Villa,2020,eng Premier League,Aston Villa,1.84,0.03,15.6,6.68,10.2
2020-it Serie A-Atalanta,2020,it Serie A,Atalanta,2.11,0.05,15.8,6.63,11.7
2020-es La Liga-Athletic Club,2020,es La Liga,Athletic Club,2.37,0.05,12.9,6.26,9.29
2020-es La Liga-Atlético Madrid,2020,es La Liga,Atlético Madrid,2.45,0.08,14.7,5.82,11.3
2020-de Bundesliga-Augsburg,2020,de Bundesliga,Augsburg,2,0.06,12.4,8.32,9.74
2020-es La Liga-Barcelona,2020,es La Liga,Barcelona,2.42,0.16,16.7,6.29,9.68
2020-de Bundesliga-Bayern Munich,2020,de Bundesliga,Bayern Munich,1.59,0.09,12.3,6.47,10.8
2020-es La Liga-Betis,2020,es La Liga,Betis,2.84,0.24,17.9,5.47,8.71
2020-it Serie A-Bologna,2020,it Serie A,Bologna,2.87,0.18,16.4,6.76,10.5
2020-fr Ligue 1-Bordeaux,2020,fr Ligue 1,Bordeaux,1.96,0,13.7,8.11,12.4
2020-eng Premier League-Bournemouth,2020,eng Premier League,Bournemouth,2.05,0.08,12.2,7.61,9.16
2020-it Serie A-Brescia,2020,it Serie A,Brescia,2.5,0.16,16.4,6.45,9.29
2020-fr Ligue 1-Brest,2020,fr Ligue 1,Brest,1.61,0.07,11.4,8.79,12.7
2020-eng Premier League-Brighton,2020,eng Premier League,Brighton,1.55,0.05,10.1,7.87,10.8
2020-eng Premier League-Burnley,2020,eng Premier League,Burnley,1.76,0,11,6.63,8.95
2020-it Serie A-Cagliari,2020,it Serie A,Cagliari,2.84,0.16,13.6,6.71,10.8
2020-es La Liga-Celta Vigo,2020,es La Liga,Celta Vigo,2.74,0.16,16,6.92,9.76
2020-eng Premier League-Chelsea,2020,eng Premier League,Chelsea,1.58,0,12.6,7.03,11.8
2020-eng Premier League-Crystal Palace,2020,eng Premier League,Crystal Palace,1.63,0.05,14.5,7.29,11.3
2020-fr Ligue 1-Dijon,2020,fr Ligue 1,Dijon,1.54,0.07,12.6,9.11,12.9
2020-de Bundesliga-Dortmund,2020,de Bundesliga,Dortmund,1.44,0.03,11.1,8.41,11.8
2020-de Bundesliga-Düsseldorf,2020,de Bundesliga,Düsseldorf,2.29,0,13.5,8.88,10.2
2020-es La Liga-Eibar,2020,es La Liga,Eibar,2.42,0.08,11.9,6.95,9.74
2020-de Bundesliga-Eint Frankfurt,2020,de Bundesliga,Eint Frankfurt,2.09,0.12,12.1,7.38,13.1
2020-es La Liga-Espanyol,2020,es La Liga,Espanyol,2.82,0.24,13.7,6.61,10.6
2020-eng Premier League-Everton,2020,eng Premier League,Everton,2,0.08,11.5,7.34,11.1
2020-it Serie A-Fiorentina,2020,it Serie A,Fiorentina,2.76,0.13,14.8,6.92,10.6
2020-de Bundesliga-Freiburg,2020,de Bundesliga,Freiburg,1.26,0.06,13.9,7.5,9.09
2020-it Serie A-Genoa,2020,it Serie A,Genoa,2.82,0.26,14.9,8.18,10.3
2020-es La Liga-Getafe,2020,es La Liga,Getafe,3.55,0.13,14.6,7.08,10.3
2020-es La Liga-Granada,2020,es La Liga,Granada,2.87,0.03,14.1,5.63,9.24
2020-it Serie A-Hellas Verona,2020,it Serie A,Hellas Verona,2.29,0.18,14.6,7.34,9.08
2020-de Bundesliga-Hertha BSC,2020,de Bundesliga,Hertha BSC,2.26,0.12,11.5,8.94,10.5
2020-de Bundesliga-Hoffenheim,2020,de Bundesliga,Hoffenheim,1.94,0.06,13.2,7.74,10.4
2020-it Serie A-Inter,2020,it Serie A,Inter,2.74,0.16,14,6.84,9.82
2020-it Serie A-Juventus,2020,it Serie A,Juventus,2.29,0.08,15.1,7.08,10.1
2020-de Bundesliga-Köln,2020,de Bundesliga,Köln,2.32,0.12,14.2,8,12.4
2020-it Serie A-Lazio,2020,it Serie A,Lazio,2.61,0.05,12.5,6.42,10.6
2020-it Serie A-Lecce,2020,it Serie A,Lecce,2.58,0.13,14.2,7,10.1
2020-es La Liga-Leganés,2020,es La Liga,Leganés,3.34,0.11,14.6,6.55,10.2
2020-eng Premier League-Leicester City,2020,eng Premier League,Leicester City,1.13,0.08,13.8,8.13,12.6
2020-es La Liga-Levante,2020,es La Liga,Levante,2.08,0.13,13.5,6.95,8.39
2020-de Bundesliga-Leverkusen,2020,de Bundesliga,Leverkusen,1.79,0.18,12.3,7.24,11.2
2020-fr Ligue 1-Lille,2020,fr Ligue 1,Lille,1.75,0.11,13.8,7,11.6
2020-eng Premier League-Liverpool,2020,eng Premier League,Liverpool,1,0.03,10.2,6.47,9.87
2020-fr Ligue 1-Lyon,2020,fr Ligue 1,Lyon,1.75,0.14,12.3,7.68,11.8
2020-de Bundesliga-M'Gladbach,2020,de Bundesliga,M'Gladbach,2.26,0.09,14.9,7.91,11.8
2020-de Bundesliga-Mainz 05,2020,de Bundesliga,Mainz 05,2.21,0.09,13.2,8.71,11.4
2020-es La Liga-Mallorca,2020,es La Liga,Mallorca,2.45,0.13,16,6.37,10.2
2020-eng Premier League-Manchester City,2020,eng Premier League,Manchester City,1.68,0.11,10.3,6.05,9.61
2020-eng Premier League-Manchester Utd,2020,eng Premier League,Manchester Utd,1.92,0,13.8,7.89,9.45
2020-fr Ligue 1-Marseille,2020,fr Ligue 1,Marseille,2.39,0.11,12.4,6.86,13.3
2020-fr Ligue 1-Metz,2020,fr Ligue 1,Metz,1.61,0.14,12.7,9,13.8
2020-it Serie A-Milan,2020,it Serie A,Milan,2.55,0.16,14,8.53,10.8
2020-fr Ligue 1-Monaco,2020,fr Ligue 1,Monaco,2.14,0.36,13.7,9.36,12.7
2020-fr Ligue 1-Montpellier,2020,fr Ligue 1,Montpellier,1.96,0.18,14.9,7.71,10.5
2020-fr Ligue 1-Nantes,2020,fr Ligue 1,Nantes,1.82,0.07,13.4,8,13.3
2020-it Serie A-Napoli,2020,it Serie A,Napoli,1.92,0.05,15.7,5.05,9.92
2020-eng Premier League-Newcastle Utd,2020,eng Premier League,Newcastle Utd,1.74,0.08,12.6,7.71,10.3
2020-fr Ligue 1-Nice,2020,fr Ligue 1,Nice,1.93,0.25,13.9,9.04,10.8
2020-fr Ligue 1-Nîmes,2020,fr Ligue 1,Nîmes,1.46,0.21,15.2,8.86,12
2020-eng Premier League-Norwich City,2020,eng Premier League,Norwich City,1.79,0.08,12.9,7.11,11.4
2020-es La Liga-Osasuna,2020,es La Liga,Osasuna,2.89,0.16,11.9,6.71,10.2
2020-de Bundesliga-Paderborn 07,2020,de Bundesliga,Paderborn 07,2.47,0.09,11.6,7.71,12
2020-fr Ligue 1-Paris S-G,2020,fr Ligue 1,Paris S-G,1.85,0.04,12,6.85,11.7
2020-it Serie A-Parma,2020,it Serie A,Parma,2.13,0.03,13.6,6.95,10.7
2020-de Bundesliga-RB Leipzig,2020,de Bundesliga,RB Leipzig,1.56,0.09,12,7.71,12.4
2020-es La Liga-Real Madrid,2020,es La Liga,Real Madrid,2.16,0.11,15,7.47,10.9
