Key,Year,Competition,Squad,O. Gls,O. Sh,O. SoT,O. SoT%,O. G/Sh,O. G/SoT,O. PKatt
2019-fr Ligue 1-Lille,2019,fr Ligue 1,Lille,0.87,10,3.11,31.1,0.07,0.23,0.26
2019-eng Premier League-Liverpool,2019,eng Premier League,Liverpool,0.58,8.05,2.58,32,0.07,0.22,0.03
2019-fr Ligue 1-Lyon,2019,fr Ligue 1,Lyon,1.13,12.4,3.84,31,0.08,0.26,0.13
2019-de Bundesliga-M'Gladbach,2019,de Bundesliga,M'Gladbach,1.24,13,4.53,34.9,0.09,0.25,0.09
2019-de Bundesliga-Mainz 05,2019,de Bundesliga,Mainz 05,1.68,14.9,4.97,33.4,0.11,0.32,0.12
2019-eng Premier League-Manchester City,2019,eng Premier League,Manchester City,0.61,6.32,2.05,32.5,0.08,0.24,0.11
2019-eng Premier League-Manchester Utd,2019,eng Premier League,Manchester Utd,1.34,13,4.47,34.5,0.09,0.26,0.16
2019-fr Ligue 1-Marseille,2019,fr Ligue 1,Marseille,1.37,10.4,3.42,33,0.11,0.32,0.32
2019-it Serie A-Milan,2019,it Serie A,Milan,0.92,12.2,3.5,28.7,0.07,0.23,0.13
2019-fr Ligue 1-Monaco,2019,fr Ligue 1,Monaco,1.45,11.2,3.74,33.3,0.12,0.35,0.21
2019-fr Ligue 1-Montpellier,2019,fr Ligue 1,Montpellier,1.05,12,3.63,30.3,0.08,0.27,0.13
2019-fr Ligue 1-Nantes,2019,fr Ligue 1,Nantes,1.26,11.1,3.32,29.9,0.1,0.35,0.21
2019-it Serie A-Napoli,2019,it Serie A,Napoli,0.95,11.5,3.55,30.9,0.07,0.24,0.11
2019-eng Premier League-Newcastle Utd,2019,eng Premier League,Newcastle Utd,1.24,12.8,3.53,27.6,0.08,0.31,0.16
2019-fr Ligue 1-Nice,2019,fr Ligue 1,Nice,0.89,13.1,4.03,30.8,0.06,0.2,0.16
2019-fr Ligue 1-Nîmes,2019,fr Ligue 1,Nîmes,1.53,12.8,4.66,36.3,0.11,0.31,0.13
2019-de Bundesliga-Nürnberg,2019,de Bundesliga,Nürnberg,1.94,15.1,5.18,34.3,0.12,0.36,0.12
2019-fr Ligue 1-Paris S-G,2019,fr Ligue 1,Paris S-G,0.84,10.4,3.26,31.5,0.07,0.22,0.16
2019-it Serie A-Parma,2019,it Serie A,Parma,1.5,19.5,5.24,26.9,0.07,0.25,0.21
2019-es La Liga-Rayo Vallecano,2019,es La Liga,Rayo Vallecano,1.82,11.3,4.58,40.7,0.14,0.36,0.29
2019-de Bundesliga-RB Leipzig,2019,de Bundesliga,RB Leipzig,0.82,8.94,3.26,36.5,0.08,0.21,0.18
2019-es La Liga-Real Madrid,2019,es La Liga,Real Madrid,1.21,10.1,3.5,34.6,0.1,0.3,0.21
2019-es La Liga-Real Sociedad,2019,es La Liga,Real Sociedad,1.16,11.5,3.71,32.3,0.1,0.3,0.08
2019-fr Ligue 1-Reims,2019,fr Ligue 1,Reims,1.05,11.8,3.87,32.8,0.07,0.22,0.18
2019-fr Ligue 1-Rennes,2019,fr Ligue 1,Rennes,1.34,12.4,4,32.2,0.1,0.31,0.13
2019-it Serie A-Roma,2019,it Serie A,Roma,1.24,14.4,4.21,29.3,0.08,0.27,0.18
2019-fr Ligue 1-Saint-Étienne,2019,fr Ligue 1,Saint-Étienne,1.05,12.3,4,32.5,0.07,0.22,0.24
