Country,Player,Age,MP,Starts,Minutes,fullgmsplayed,Gls,Ast,G_PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G_A_90,G_PK_90,G_A_PK_90
Belgium,Thomas Foket,27,3,0,67,0.70,1,0,1,0,0,0,0,1.34,0.00,1.34,1.34,1.34
Belgium,Dante Vanzeir,23,1,0,32,0.40,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Belgium,Albert Sambi Lokonga,22,1,0,17,0.20,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Belgium,Adnan Januzaj,26,1,0,14,0.20,0,1,0,0,0,0,0,0.00,6.43,6.43,0.00,6.43
Belgium,Squad Total,29,8,88,720,8.00,25,22,24,1,1,12,0,3.12,2.75,5.87,3.00,5.75
Belgium,Opponent Total,28,8,88,720,8.00,6,5,6,0,0,10,0,0.75,0.62,1.37,0.75,1.37
Brazil,Marquinhos,27,14,14,1181,13.10,2,0,2,0,0,3,0,0.15,0.00,0.15,0.15,0.15
Brazil,Danilo,30,13,13,1128,12.50,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08
Brazil,Lucas Paquetá,24,14,11,955,10.60,3,1,3,0,0,3,0,0.28,0.09,0.38,0.28,0.38
Brazil,Neymar,29,10,10,900,10.00,8,8,4,4,4,4,0,0.80,0.80,1.60,0.40,1.20
Brazil,Thiago Silva,37,11,10,900,10.00,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Brazil,Alex Sandro,31,10,9,811,9.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Casemiro,29,9,9,788,8.80,1,0,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11
Brazil,Alisson,29,8,8,720,8.00,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Brazil,Éder Militão,24,8,8,700,7.80,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Brazil,Fred,28,8,8,589,6.50,0,1,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15
Brazil,Gabriel Jesus,24,11,7,607,6.70,0,2,0,0,0,1,0,0.00,0.30,0.30,0.00,0.30
Brazil,Fabinho,28,9,6,535,5.90,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Brazil,Richarlison,24,8,6,530,5.90,6,0,6,0,0,1,0,1.02,0.00,1.02,1.02,1.02
Brazil,Ederson,28,5,5,450,5.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Gabriel Barbosa,25,8,5,437,4.90,2,0,1,1,1,1,0,0.41,0.00,0.41,0.21,0.21
Brazil,Raphinha,25,7,5,419,4.70,3,2,3,0,0,1,0,0.64,0.43,1.07,0.64,1.07
Brazil,Roberto Firmino,30,6,5,405,4.50,3,1,3,0,0,0,0,0.67,0.22,0.89,0.67,0.89
Brazil,Vinicius Júnior,21,7,5,404,4.50,1,0,1,0,0,2,0,0.22,0.00,0.22,0.22,0.22
Brazil,Philippe Coutinho,29,6,5,329,3.70,3,0,2,1,1,0,0,0.82,0.00,0.82,0.55,0.55
Brazil,Everton Ribeiro,32,9,4,396,4.40,2,0,2,0,0,0,0,0.45,0.00,0.45,0.45,0.45
Brazil,Wéverton,34,4,4,360,4.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Douglas Luiz,23,6,4,352,3.90,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Brazil,Renan Lodi,23,4,4,323,3.60,0,2,0,0,0,0,0,0.00,0.56,0.56,0.00,0.56
Brazil,Matheus Cunha,22,6,3,290,3.20,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Antony,21,9,2,321,3.60,2,1,2,0,0,1,0,0.56,0.28,0.84,0.56,0.84
Brazil,Dani Alves,38,4,2,266,3.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Gerson,24,4,2,230,2.60,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Brazil,Alex Telles,29,5,2,210,2.30,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Guilherme Arana,24,3,2,186,2.10,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Lucas Veríssimo,26,2,2,180,2.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Bruno Guimarães,24,6,2,176,2.00,1,2,1,0,0,1,0,0.51,1.02,1.53,0.51,1.53
Brazil,Emerson,23,3,2,123,1.40,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
Brazil,Everton Soares,25,5,1,125,1.40,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Arthur Melo,25,2,1,104,1.20,1,0,1,0,0,0,0,0.87,0.00,0.87,0.87,0.87
Brazil,Allan,31,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Rodrigo Caio,28,1,0,79,0.90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Rodrygo,21,3,0,55,0.60,1,0,1,0,0,0,0,1.64,0.00,1.64,1.64,1.64
Brazil,Martinelli,20,2,0,53,0.60,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Felipe,32,1,0,20,0.20,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Pedro,24,1,0,15,0.20,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Edenílson,32,2,0,10,0.10,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Hulk,35,1,0,7,0.10,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brazil,Squad Total,28,17,187,1620,18.00,39,21,33,6,6,35,1,2.17,1.17,3.33,1.83,3.00
Brazil,Opponent Total,29,17,187,1620,18.00,5,1,5,0,0,54,4,0.28,0.06,0.33,0.28,0.33
Cameroon,Michael Ngadeu-Ngadjui,31,8,8,750,8.30,2,1,2,0,0,0,0,0.24,0.12,0.36,0.24,0.36
Cameroon,Martin Hongla,23,8,8,605,6.70,0,2,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30
Cameroon,Karl Toko Ekambi,29,8,7,565,6.30,3,0,3,0,0,0,0,0.48,0.00,0.48,0.48,0.48
