Key,Year,Competition,Squad,O. Age,O. Poss,MP,O. Gls,O. Sh,O. SoT,O. SoT%,O. G/Sh,O. G/SoT,O. PKatt,O. CrdY,O. CrdR,O. Fld,O. Int,O. TklW
2021-eng Premier League-Aston Villa,2021,eng Premier League,Aston Villa,26.7,51.9,38,1.18,14.1,4.66,33.0,0.07,0.23,0.16,1.92,0.18,13.2,10.3,9.74
2021-it Serie A-Atalanta,2021,it Serie A,Atalanta,27.0,45.1,38,1.21,8.45,2.87,34.0,0.13,0.38,0.21,2.29,0.11,16.1,13.7,13.5
2021-es La Liga-Athletic Club,2021,es La Liga,Athletic Club,27.6,50.2,38,1.08,9.79,2.82,28.8,0.1,0.34,0.16,2.11,0.13,13.8,11.9,8.92
2021-es La Liga-Atlético Madrid,2021,es La Liga,Atlético Madrid,27.5,47.6,38,0.58,9.37,3.16,33.7,0.06,0.18,0.11,1.55,0.08,13.5,11.5,9.97
2021-de Bundesliga-Augsburg,2021,de Bundesliga,Augsburg,26.0,58.7,34,1.5,14.0,5.06,36.1,0.09,0.26,0.26,1.59,0.03,12.0,11.2,10.8
2021-es La Liga-Barcelona,2021,es La Liga,Barcelona,27.4,34.2,38,0.95,8.45,3.24,38.3,0.1,0.25,0.13,2.0,0.16,9.97,13.9,10.6
2021-de Bundesliga-Bayern Munich,2021,de Bundesliga,Bayern Munich,25.9,38.9,34,1.29,9.97,3.79,38.1,0.13,0.33,0.09,1.47,0.0,9.79,13.9,11.9
2021-it Serie A-Benevento,2021,it Serie A,Benevento,27.2,57.7,38,1.82,13.2,4.61,34.9,0.13,0.37,0.13,2.0,0.16,14.0,8.61,8.21
2021-es La Liga-Betis,2021,es La Liga,Betis,27.4,46.1,38,1.24,9.32,3.29,35.3,0.11,0.31,0.26,2.18,0.05,14.6,10.2,10.2
2021-it Serie A-Bologna,2021,it Serie A,Bologna,27.3,49.1,38,1.66,14.0,4.92,35.2,0.11,0.3,0.24,2.21,0.03,14.6,11.3,10.7
2021-fr Ligue 1-Bordeaux,2021,fr Ligue 1,Bordeaux,25.8,50.3,38,1.45,12.2,3.89,31.8,0.1,0.32,0.21,1.74,0.08,12.5,9.87,12.8
2021-fr Ligue 1-Brest,2021,fr Ligue 1,Brest,26.0,50.7,38,1.68,12.3,4.45,36.1,0.12,0.33,0.29,2.05,0.13,13.1,10.5,9.74
2021-eng Premier League-Brighton,2021,eng Premier League,Brighton,26.4,48.7,38,1.16,9.26,3.08,33.2,0.11,0.32,0.18,1.34,0.05,12.8,11.4,8.82
2021-eng Premier League-Burnley,2021,eng Premier League,Burnley,26.6,58.3,38,1.42,14.8,4.71,31.9,0.09,0.28,0.08,0.84,0.05,12.0,7.82,7.42
2021-es La Liga-Cádiz,2021,es La Liga,Cádiz,27.5,65.7,38,1.5,11.7,3.66,31.3,0.11,0.35,0.26,2.29,0.11,12.1,7.76,8.87
2021-it Serie A-Cagliari,2021,it Serie A,Cagliari,27.3,55.4,38,1.55,14.5,5.21,35.9,0.1,0.27,0.13,2.0,0.13,14.6,10.5,9.79
2021-es La Liga-Celta Vigo,2021,es La Liga,Celta Vigo,27.4,46.3,38,1.47,10.7,3.47,32.4,0.12,0.37,0.21,2.68,0.16,18.4,11.1,9.08
2021-eng Premier League-Chelsea,2021,eng Premier League,Chelsea,26.3,38.6,38,0.92,8.74,2.71,31.0,0.1,0.31,0.11,1.47,0.08,13.1,11.0,10.9
2021-it Serie A-Crotone,2021,it Serie A,Crotone,27.1,53.6,38,2.37,15.5,5.58,36.0,0.14,0.4,0.13,2.37,0.13,14.7,10.2,10.8
2021-eng Premier League-Crystal Palace,2021,eng Premier League,Crystal Palace,26.4,59.9,38,1.74,14.0,4.55,32.5,0.12,0.36,0.11,1.16,0.11,12.4,10.8,10.8
2021-fr Ligue 1-Dijon,2021,fr Ligue 1,Dijon,26.0,53.8,38,1.82,13.9,4.76,34.3,0.12,0.34,0.26,1.42,0.03,13.8,11.4,12.3
2021-de Bundesliga-Dortmund,2021,de Bundesliga,Dortmund,26.0,40.2,34,1.32,11.0,3.85,35.0,0.1,0.3,0.18,1.82,0.03,11.3,14.7,11.3
2021-es La Liga-Eibar,2021,es La Liga,Eibar,27.5,50.4,38,1.37,9.11,3.5,38.4,0.14,0.37,0.13,1.74,0.05,13.6,9.5,9.37
2021-de Bundesliga-Eint Frankfurt,2021,de Bundesliga,Eint Frankfurt,25.8,46.0,34,1.5,12.5,4.38,35.1,0.11,0.32,0.18,1.88,0.0,15.0,13.3,10.7
2021-es La Liga-Elche,2021,es La Liga,Elche,27.4,52.4,38,1.42,12.4,4.11,33.1,0.1,0.31,0.26,2.08,0.05,14.9,9.76,10.8
2021-eng Premier League-Everton,2021,eng Premier League,Everton,26.4,53.5,38,1.24,13.2,4.16,31.5,0.09,0.28,0.11,1.74,0.03,12.2,11.3,10.3
2021-it Serie A-Fiorentina,2021,it Serie A,Fiorentina,27.4,53.8,38,1.5,11.7,3.63,30.9,0.11,0.36,0.29,2.13,0.05,14.3,8.71,11.8
2021-de Bundesliga-Freiburg,2021,de Bundesliga,Freiburg,26.0,53.0,34,1.47,14.6,4.94,33.9,0.09,0.27,0.18,1.59,0.0,14.0,9.32,9.47
2021-eng Premier League-Fulham,2021,eng Premier League,Fulham,26.6,50.1,38,1.37,11.1,4.32,39.0,0.11,0.27,0.18,1.05,0.03,14.5,10.5,11.0
2021-it Serie A-Genoa,2021,it Serie A,Genoa,27.2,55.3,38,1.47,14.2,4.79,33.8,0.09,0.27,0.18,1.82,0.03,15.0,9.29,10.9
2021-es La Liga-Getafe,2021,es La Liga,Getafe,27.4,57.2,38,1.05,8.24,2.76,33.5,0.11,0.31,0.21,2.79,0.16,17.1,9.29,9.58
2021-es La Liga-Granada,2021,es La Liga,Granada,27.6,59.0,38,1.68,12.4,4.21,34.0,0.12,0.36,0.32,2.74,0.16,15.0,8.68,10.2
2021-it Serie A-Hellas Verona,2021,it Serie A,Hellas Verona,27.0,50.2,38,1.21,13.9,3.66,26.3,0.08,0.29,0.18,2.13,0.05,17.1,11.7,9.95
2021-de Bundesliga-Hertha BSC,2021,de Bundesliga,Hertha BSC,26.1,50.6,34,1.5,12.4,3.94,31.7,0.1,0.33,0.24,2.0,0.09,14.3,10.5,11.5
2021-de Bundesliga-Hoffenheim,2021,de Bundesliga,Hoffenheim,26.0,48.9,34,1.53,10.9,4.09,37.4,0.12,0.33,0.26,1.38,0.06,14.0,11.9,10.6
2021-es La Liga-Huesca,2021,es La Liga,Huesca,27.3,51.7,38,1.34,11.0,3.74,34.1,0.11,0.32,0.13,1.68,0.05,15.2,8.71,10.0
2021-it Serie A-Inter,2021,it Serie A,Inter,26.9,47.6,38,0.89,10.0,2.95,29.5,0.08,0.26,0.18,2.21,0.08,13.1,12.6,7.97
2021-it Serie A-Juventus,2021,it Serie A,Juventus,27.0,42.9,38,0.95,11.1,3.0,27.0,0.07,0.26,0.24,2.24,0.05,14.8,12.1,9.42
2021-de Bundesliga-Köln,2021,de Bundesliga,Köln,26.2,53.7,36,1.76,12.1,4.47,36.9,0.13,0.34,0.26,1.97,0.0,13.5,11.3,9.97
2021-it Serie A-Lazio,2021,it Serie A,Lazio,26.9,46.9,38,1.39,10.2,3.79,37.1,0.11,0.3,0.26,2.29,0.08,14.3,11.4,10.4
2021-eng Premier League-Leeds United,2021,eng Premier League,Leeds United,26.5,42.4,38,1.37,14.4,4.97,34.4,0.08,0.23,0.24,1.29,0.05,14.0,13.7,9.82
2021-eng Premier League-Leicester City,2021,eng Premier League,Leicester City,26.5,45.4,38,1.26,9.71,3.53,36.3,0.12,0.33,0.11,1.61,0.03,12.6,13.1,10.9
2021-fr Ligue 1-Lens,2021,fr Ligue 1,Lens,26.0,48.6,38,1.34,10.7,3.53,32.8,0.1,0.3,0.29,2.0,0.18,14.1,10.7,10.9
2021-es La Liga-Levante,2021,es La Liga,Levante,27.4,47.6,38,1.45,12.1,4.29,35.4,0.11,0.32,0.11,2.29,0.18,14.5,11.7,10.8
2021-de Bundesliga-Leverkusen,2021,de Bundesliga,Leverkusen,25.9,40.1,34,1.09,10.1,3.24,32.0,0.1,0.33,0.06,1.47,0.09,13.2,13.1,13.4
2021-fr Ligue 1-Lille,2021,fr Ligue 1,Lille,26.2,46.1,38,0.55,8.84,2.82,31.8,0.06,0.19,0.05,2.0,0.18,13.0,13.6,13.0
2021-eng Premier League-Liverpool,2021,eng Premier League,Liverpool,26.6,37.6,38,1.11,8.53,3.61,42.3,0.12,0.28,0.21,1.47,0.05,11.4,13.4,10.7
2021-fr Ligue 1-Lorient,2021,fr Ligue 1,Lorient,25.8,55.4,38,1.76,12.0,4.18,34.9,0.13,0.36,0.29,2.03,0.16,12.6,11.8,11.5
