Date,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance,Year
2016-06-12,Poland , Northern Ireland,1,0,Group C,,Stade de Nice, Nice,33742,2016
2016-06-12,Germany , Ukraine,2,0,Group C,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,43035,2016
2016-06-16,Ukraine , Northern Ireland,0,2,Group C,,Parc Olympique Lyonnais, Décines-Charpieu,51043,2016
2016-06-16,Germany , Poland,0,0,Group C,,Stade de France, Saint-Denis,73648,2016
2016-06-21,Ukraine , Poland,0,1,Group C,,Stade Vélodrome, Marseille,58874,2016
2016-06-21,Northern Ireland , Germany,0,1,Group C,,Parc des Princes, Paris,44125,2016
2016-06-12,Turkey , Croatia,0,1,Group D,,Parc des Princes, Paris,43842,2016
2016-06-13,Spain , Czech Republic,1,0,Group D,,Stadium Municipal, Toulouse,29400,2016
2016-06-17,Czech Republic , Croatia,2,2,Group D,,Stade Geoffroy-Guichard, Saint-Étienne,38376,2016
2016-06-17,Spain , Turkey,3,0,Group D,,Stade de Nice, Nice,33409,2016
2016-06-21,Czech Republic , Turkey,0,2,Group D,,Stade Bollaert-Delelis, Lens,32836,2016
2016-06-21,Croatia , Spain,2,1,Group D,,Nouveau Stade de Bordeaux, Bordeaux,37245,2016
2016-06-13,Republic of Ireland , Sweden,1,1,Group E,,Stade de France, Saint-Denis,73419,2016
2016-06-13,Belgium , Italy,0,2,Group E,,Parc Olympique Lyonnais, Décines-Charpieu,55408,2016
2016-06-17,Italy , Sweden,1,0,Group E,,Stadium Municipal, Toulouse,29600,2016
2016-06-18,Belgium , Republic of Ireland,3,0,Group E,,Nouveau Stade de Bordeaux, Bordeaux,39493,2016
2016-06-22,Italy , Republic of Ireland,0,1,Group E,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,44268,2016
2016-06-22,Sweden , Belgium,0,1,Group E,,Stade de Nice, Nice,34011,2016
2016-06-14,Austria , Hungary,0,2,Group F,,Nouveau Stade de Bordeaux, Bordeaux,34424,2016
2016-06-14,Portugal , Iceland,1,1,Group F,,Stade Geoffroy-Guichard, Saint-Étienne,38742,2016
2016-06-18,Iceland , Hungary,1,1,Group F,,Stade Vélodrome, Marseille,60842,2016
2016-06-18,Portugal , Austria,0,0,Group F,,Parc des Princes, Paris,44291,2016
2016-06-22,Iceland , Austria,2,1,Group F,,Stade de France, Saint-Denis,68714,2016
2016-06-22,Hungary , Portugal,3,3,Group F,,Parc Olympique Lyonnais, Décines-Charpieu,55514,2016
2016-06-25,Switzerland  , Poland,1,1,Round of 16, Poland win on Penalities 4–5,Stade Geoffroy-Guichard, Saint-Étienne,38842,2016
2016-06-25,Wales , Northern Ireland,1,0,Round of 16,,Parc des Princes, Paris,44342,2016
2016-06-25,Croatia , Portugal,0,1,Round of 16, Portugal win after extra time ,Stade Bollaert-Delelis, Lens,33523,2016
2016-06-26,France , Republic of Ireland,2,1,Round of 16,,Parc Olympique Lyonnais, Décines-Charpieu,56279,2016
2016-06-26,Germany , Slovakia,3,0,Round of 16,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,44312,2016
2016-06-26,Hungary , Belgium,0,4,Round of 16,,Stadium Municipal, Toulouse,28921,2016
2016-06-27,Italy , Spain,2,0,Round of 16,,Stade de France, Saint-Denis,76165,2016
2016-06-27,England , Iceland,1,2,Round of 16,,Stade de Nice, Nice,33901,2016
2016-06-30,Poland , Portugal,1,1,Quarter-finals, Portugal win on Penalities 3–5,Stade Vélodrome, Marseille,62940,2016
2016-07-01,Wales , Belgium,3,1,Quarter-finals,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,45936,2016
2016-07-02,Germany , Italy,1,1,Quarter-finals,Germany  win on Penalities 6–5,Nouveau Stade de Bordeaux, Bordeaux,38764,2016
2016-07-03,France , Iceland,5,2,Quarter-finals,,Stade de France, Saint-Denis,76833,2016
2016-07-06,Portugal , Wales,2,0,Semi-finals,,Parc Olympique Lyonnais, Décines-Charpieu,55679,2016
2016-07-07,Germany , France,0,2,Semi-finals,,Stade Vélodrome, Marseille,64078,2016
2016-07-10,Portugal , France,1,0,Final,Portugal  win after extra time ,Stade de France, Saint-Denis,75868,2016
